epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4407,3.89657,5.62927,4.08835,0,0,0,0,3.22538,5.18352,3.92623,0.000103656,0.000103656,0.000103656
2,66.313,3.45901,5.27267,3.57253,0.39359,0.00439,0.00094,0.00029,2.96764,4.67789,3.5374,0.000139353,0.000139353,0.000139353
3,99.1618,3.27545,4.96104,3.29376,0.5042,0.00832,0.00229,0.00063,2.94977,4.50739,3.3202,0.00010619,0.00010619,0.00010619
