epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1267.5,1.77775,2.84678,1.64611,0.33737,0.22358,0.18455,0.10931,1.84469,3.13349,1.83954,0.000185953,0.000185953,0.000185953
43,1298.21,1.76351,2.83793,1.63812,0.3925,0.22736,0.1878,0.11309,1.83323,3.13614,1.84479,0.000182855,0.000182855,0.000182855
44,1328.29,1.77368,2.84317,1.63895,0.34241,0.22193,0.1911,0.11508,1.82928,3.1182,1.83732,0.000179756,0.000179756,0.000179756
45,1357.95,1.74335,2.81748,1.62599,0.31856,0.23495,0.20273,0.12018,1.83951,3.14164,1.85254,0.000176657,0.000176657,0.000176657
46,1387.65,1.75012,2.80305,1.61308,0.40075,0.24817,0.20088,0.1205,1.83462,3.11095,1.84929,0.000173559,0.000173559,0.000173559
47,1417.79,1.75549,2.82027,1.62634,0.30488,0.26175,0.19881,0.12158,1.80737,3.09203,1.80999,0.00017046,0.00017046,0.00017046
48,1448.06,1.73072,2.80283,1.60559,0.40598,0.25312,0.20962,0.12594,1.80622,3.07239,1.80931,0.000167361,0.000167361,0.000167361
49,1477.85,1.71848,2.78082,1.59963,0.35286,0.24571,0.20208,0.12568,1.79892,3.09645,1.78681,0.000164262,0.000164262,0.000164262
50,1507.4,1.72626,2.77239,1.60096,0.34629,0.25886,0.20737,0.12491,1.82759,3.07093,1.79468,0.000161164,0.000161164,0.000161164
51,1536.9,1.70844,2.75972,1.59441,0.34586,0.25295,0.20279,0.12537,1.79852,3.08571,1.79936,0.000158065,0.000158065,0.000158065
52,1566.43,1.72394,2.77307,1.59583,0.31359,0.26277,0.20964,0.12934,1.82652,3.05158,1.78148,0.000154966,0.000154966,0.000154966
53,1596.04,1.71296,2.75401,1.59027,0.32779,0.27119,0.21206,0.12891,1.78125,3.04946,1.78103,0.000151868,0.000151868,0.000151868
54,1625.57,1.70182,2.73572,1.57875,0.39773,0.24129,0.21399,0.13207,1.7769,3.03133,1.77065,0.000148769,0.000148769,0.000148769
55,1655.08,1.69864,2.7147,1.57976,0.34446,0.27633,0.223,0.13819,1.77507,3.03237,1.77704,0.00014567,0.00014567,0.00014567
56,1684.72,1.69923,2.7216,1.57083,0.36777,0.28081,0.21986,0.13507,1.7714,3.01479,1.76411,0.000142572,0.000142572,0.000142572
57,1714.45,1.6932,2.7222,1.57782,0.40777,0.26496,0.22435,0.13768,1.77569,3.00662,1.77355,0.000139473,0.000139473,0.000139473
58,1744.34,1.69315,2.69839,1.57128,0.3383,0.27171,0.22348,0.13753,1.76726,2.99962,1.75294,0.000136374,0.000136374,0.000136374
59,1773.98,1.6875,2.71382,1.56679,0.41578,0.26323,0.23134,0.13882,1.78725,3.01524,1.78628,0.000133275,0.000133275,0.000133275
60,1803.67,1.67288,2.6919,1.55652,0.41092,0.25217,0.22603,0.13963,1.77596,2.99211,1.75903,0.000130177,0.000130177,0.000130177
61,1833.26,1.66211,2.66565,1.5495,0.39759,0.25834,0.22671,0.14131,1.77751,2.99221,1.7498,0.000127078,0.000127078,0.000127078
62,1862.91,1.67717,2.68713,1.55186,0.38721,0.25799,0.23221,0.14552,1.78404,3.01213,1.77337,0.000123979,0.000123979,0.000123979
63,1893,1.67257,2.67164,1.56022,0.4343,0.27303,0.23192,0.14638,1.76917,2.98917,1.75267,0.000120881,0.000120881,0.000120881
64,1922.83,1.67065,2.66013,1.54812,0.43762,0.27421,0.238,0.14951,1.75458,2.98035,1.74065,0.000117782,0.000117782,0.000117782
65,1952.71,1.65604,2.64861,1.54358,0.41802,0.26844,0.23517,0.14675,1.77428,2.99816,1.75624,0.000114683,0.000114683,0.000114683
66,1982.14,1.65931,2.65503,1.5483,0.34159,0.27661,0.23919,0.14859,1.76642,2.97076,1.74747,0.000111585,0.000111585,0.000111585
67,2011.7,1.64191,2.62708,1.53095,0.32632,0.29046,0.23256,0.14468,1.74699,2.95745,1.72839,0.000108486,0.000108486,0.000108486
68,2041.66,1.65156,2.63601,1.54652,0.37922,0.29162,0.24274,0.15209,1.75558,2.95999,1.73683,0.000105387,0.000105387,0.000105387
69,2071.68,1.65275,2.63859,1.54231,0.43867,0.26626,0.24224,0.15151,1.74318,2.94245,1.72492,0.000102288,0.000102288,0.000102288
70,2101.55,1.6441,2.61963,1.52554,0.3823,0.27547,0.23654,0.14815,1.743,2.95717,1.72547,9.91897e-05,9.91897e-05,9.91897e-05
71,2131.59,1.65266,2.64633,1.53705,0.39509,0.27454,0.24205,0.15041,1.7508,2.96488,1.732,9.6091e-05,9.6091e-05,9.6091e-05
72,2161.62,1.64604,2.61777,1.52641,0.38011,0.27738,0.24667,0.15284,1.75294,2.94601,1.73569,9.29923e-05,9.29923e-05,9.29923e-05
73,2191.57,1.63477,2.60186,1.52413,0.35424,0.27338,0.24267,0.15338,1.75171,2.9801,1.73735,8.98936e-05,8.98936e-05,8.98936e-05
74,2221.57,1.63779,2.61981,1.52018,0.35994,0.2833,0.24637,0.15561,1.73598,2.95435,1.72121,8.67949e-05,8.67949e-05,8.67949e-05
75,2251.17,1.62371,2.60183,1.51442,0.36802,0.29219,0.2519,0.15874,1.74843,2.9669,1.73246,8.36962e-05,8.36962e-05,8.36962e-05
76,2281.17,1.64899,2.62118,1.53178,0.36539,0.28425,0.25451,0.16028,1.72778,2.91999,1.70606,8.05975e-05,8.05975e-05,8.05975e-05
77,2310.9,1.62139,2.6073,1.5172,0.34323,0.2922,0.25197,0.15944,1.74029,2.9347,1.71377,7.74988e-05,7.74988e-05,7.74988e-05
78,2340.51,1.62602,2.58227,1.51186,0.40264,0.27665,0.24831,0.15854,1.74034,2.96621,1.73811,7.44001e-05,7.44001e-05,7.44001e-05
79,2370.12,1.62938,2.57985,1.50992,0.35674,0.28397,0.24931,0.15831,1.7329,2.96924,1.72516,7.13014e-05,7.13014e-05,7.13014e-05
80,2399.64,1.63217,2.58614,1.5162,0.38764,0.29028,0.25251,0.16115,1.73185,2.95094,1.72001,6.82027e-05,6.82027e-05,6.82027e-05
81,2429.24,1.62706,2.61537,1.52212,0.36981,0.2859,0.25349,0.16243,1.72208,2.91595,1.70903,6.5104e-05,6.5104e-05,6.5104e-05
82,2459.07,1.62037,2.58698,1.51255,0.38993,0.2808,0.2544,0.16229,1.72984,2.93309,1.71092,6.20053e-05,6.20053e-05,6.20053e-05
83,2488.71,1.61977,2.58117,1.51436,0.44839,0.27248,0.25587,0.16232,1.72941,2.90962,1.70454,5.89066e-05,5.89066e-05,5.89066e-05
84,2518.36,1.61506,2.56702,1.49653,0.3656,0.29096,0.25632,0.16426,1.72717,2.93056,1.712,5.58079e-05,5.58079e-05,5.58079e-05
85,2548.32,1.61863,2.58734,1.50679,0.40836,0.27196,0.25731,0.16387,1.72555,2.91344,1.70218,5.27092e-05,5.27092e-05,5.27092e-05
86,2577.89,1.60291,2.56368,1.5045,0.35967,0.28714,0.25649,0.16505,1.72327,2.91831,1.70752,4.96105e-05,4.96105e-05,4.96105e-05
87,2607.5,1.62284,2.57968,1.51071,0.37155,0.29271,0.25918,0.16527,1.72188,2.89879,1.69579,4.65118e-05,4.65118e-05,4.65118e-05
88,2637.13,1.61854,2.56616,1.50585,0.37988,0.28409,0.25896,0.16576,1.71921,2.9162,1.70457,4.34131e-05,4.34131e-05,4.34131e-05
89,2666.81,1.62346,2.58662,1.50781,0.39595,0.28595,0.25549,0.16386,1.71661,2.91097,1.69921,4.03144e-05,4.03144e-05,4.03144e-05
90,2696.56,1.61311,2.55722,1.50317,0.39464,0.28365,0.25924,0.16632,1.7194,2.91211,1.69465,3.72157e-05,3.72157e-05,3.72157e-05
91,2758.18,1.55077,2.6721,1.51502,0.34071,0.28287,0.23552,0.1473,1.75004,3.02547,1.75291,3.4117e-05,3.4117e-05,3.4117e-05
92,2787.36,1.52059,2.55687,1.49619,0.3578,0.28164,0.24444,0.15367,1.73381,2.98618,1.74292,3.10183e-05,3.10183e-05,3.10183e-05
93,2816.36,1.5049,2.51373,1.48726,0.35783,0.29026,0.2499,0.15765,1.71894,2.9661,1.72707,2.79196e-05,2.79196e-05,2.79196e-05
94,2845.4,1.51679,2.50324,1.48648,0.3656,0.27911,0.24556,0.15559,1.71037,2.9709,1.72546,2.48209e-05,2.48209e-05,2.48209e-05
95,2874.48,1.50031,2.48761,1.47781,0.31898,0.29097,0.24994,0.15917,1.71231,2.96029,1.7219,2.17222e-05,2.17222e-05,2.17222e-05
96,2903.78,1.48476,2.4727,1.47352,0.32249,0.27783,0.24962,0.15801,1.71053,2.96131,1.71912,1.86235e-05,1.86235e-05,1.86235e-05
97,2934.46,1.4906,2.46591,1.47873,0.32121,0.28318,0.25087,0.15817,1.71069,2.96321,1.72402,1.55248e-05,1.55248e-05,1.55248e-05
98,2963.33,1.4915,2.46974,1.47772,0.33763,0.28445,0.24824,0.15814,1.7091,2.96703,1.72306,1.24261e-05,1.24261e-05,1.24261e-05
99,2991.74,1.49899,2.48431,1.48415,0.36272,0.28131,0.25157,0.15994,1.70509,2.95523,1.71587,9.3274e-06,9.3274e-06,9.3274e-06
100,3020.18,1.49812,2.45881,1.48106,0.3281,0.28822,0.2524,0.16052,1.70446,2.95419,1.7164,6.2287e-06,6.2287e-06,6.2287e-06
