epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3963.38,1.05834,1.29458,1.21666,0.59757,0.58331,0.61467,0.45559,1.24992,1.72345,1.28352,0.000185953,0.000185953,0.000185953
43,4058.24,1.06657,1.28023,1.22347,0.66371,0.55904,0.61602,0.45551,1.29249,1.78416,1.31279,0.000182855,0.000182855,0.000182855
44,4149.97,1.04665,1.25819,1.21095,0.61323,0.55249,0.58853,0.44295,1.25527,1.84315,1.28312,0.000179756,0.000179756,0.000179756
45,4242.87,1.04215,1.25572,1.20172,0.55338,0.53743,0.55999,0.4123,1.31535,2.00976,1.33954,0.000176657,0.000176657,0.000176657
46,4336.25,1.0339,1.21317,1.19772,0.54981,0.58834,0.57906,0.43414,1.28677,1.91514,1.3317,0.000173559,0.000173559,0.000173559
47,4429.63,1.03682,1.238,1.20143,0.5895,0.60445,0.62981,0.47229,1.21518,1.7666,1.27167,0.00017046,0.00017046,0.00017046
48,4527.55,1.01469,1.19932,1.1839,0.62645,0.52614,0.58061,0.44589,1.25052,1.99033,1.31055,0.000167361,0.000167361,0.000167361
49,4619.9,1.02562,1.20378,1.19025,0.62452,0.59535,0.61667,0.45139,1.32821,1.84815,1.34305,0.000164262,0.000164262,0.000164262
50,4713.54,1.02009,1.18581,1.18657,0.60835,0.56372,0.60023,0.45637,1.22038,1.90489,1.26826,0.000161164,0.000161164,0.000161164
51,4806.93,1.00962,1.17244,1.17944,0.58987,0.59202,0.5967,0.44741,1.22537,1.81671,1.26374,0.000158065,0.000158065,0.000158065
52,4900.18,1.02557,1.18299,1.18788,0.56897,0.56138,0.5709,0.43465,1.27111,2.00565,1.31336,0.000154966,0.000154966,0.000154966
53,4991.95,1.01835,1.15692,1.18067,0.63805,0.54625,0.59207,0.44747,1.26385,1.97256,1.29644,0.000151868,0.000151868,0.000151868
54,5084.83,1.00769,1.12928,1.17847,0.64322,0.50773,0.58066,0.43759,1.31701,2.0653,1.34284,0.000148769,0.000148769,0.000148769
55,5177.56,0.99271,1.13967,1.17362,0.62505,0.55314,0.59797,0.45151,1.297,1.92374,1.33633,0.00014567,0.00014567,0.00014567
56,5275.1,1.01363,1.15804,1.17993,0.61917,0.54831,0.59258,0.4624,1.20574,1.96853,1.28031,0.000142572,0.000142572,0.000142572
57,5368.62,0.98399,1.09937,1.15869,0.62801,0.53386,0.5873,0.45138,1.22235,1.94272,1.28098,0.000139473,0.000139473,0.000139473
58,5460.78,0.96424,1.07897,1.14398,0.58566,0.56505,0.57947,0.44093,1.20965,2.02484,1.26736,0.000136374,0.000136374,0.000136374
59,5554.54,0.97836,1.09459,1.15786,0.62779,0.56941,0.60569,0.45542,1.25692,1.95342,1.2798,0.000133275,0.000133275,0.000133275
60,5651.67,0.98169,1.0952,1.15592,0.59796,0.56939,0.59049,0.4544,1.19829,1.95639,1.28487,0.000130177,0.000130177,0.000130177
61,5745.04,0.97406,1.0738,1.15256,0.66449,0.54132,0.58022,0.44606,1.22995,2.06966,1.30805,0.000127078,0.000127078,0.000127078
62,5836.57,0.97427,1.07521,1.15393,0.63476,0.53562,0.57364,0.43347,1.30801,2.10362,1.35272,0.000123979,0.000123979,0.000123979
63,5931.47,0.96242,1.06478,1.14694,0.64694,0.58352,0.6127,0.4646,1.20787,1.88746,1.28105,0.000120881,0.000120881,0.000120881
64,6023.74,0.96055,1.05826,1.15068,0.6642,0.53259,0.59668,0.45189,1.24595,2.03124,1.3066,0.000117782,0.000117782,0.000117782
65,6117.39,0.96104,1.05115,1.14782,0.64399,0.57007,0.60841,0.45531,1.30371,1.92906,1.33313,0.000114683,0.000114683,0.000114683
66,6209.33,0.95125,1.02357,1.13849,0.61589,0.54269,0.56543,0.42984,1.26792,2.19998,1.32315,0.000111585,0.000111585,0.000111585
67,6302.89,0.94824,1.03383,1.14011,0.6003,0.55566,0.58444,0.44285,1.25215,2.0208,1.30664,0.000108486,0.000108486,0.000108486
68,6395.68,0.94858,1.02729,1.14217,0.63326,0.52925,0.58867,0.45585,1.18359,1.98951,1.2579,0.000105387,0.000105387,0.000105387
69,6488.07,0.94546,1.00964,1.13412,0.62372,0.53669,0.57908,0.44483,1.22241,2.08371,1.29682,0.000102288,0.000102288,0.000102288
70,6580.78,0.95018,1.01273,1.13941,0.61426,0.53852,0.58671,0.4397,1.37378,2.16675,1.40196,9.91897e-05,9.91897e-05,9.91897e-05
71,6678.4,0.93191,0.98956,1.12323,0.56901,0.54237,0.56422,0.43259,1.29835,2.24945,1.34787,9.6091e-05,9.6091e-05,9.6091e-05
72,6770.54,0.93467,0.98558,1.12914,0.65096,0.53277,0.59009,0.45568,1.24267,2.03484,1.31867,9.29923e-05,9.29923e-05,9.29923e-05
73,6863.89,0.91932,0.95691,1.11929,0.61228,0.54877,0.58574,0.44805,1.23792,2.14655,1.306,8.98936e-05,8.98936e-05,8.98936e-05
74,6958.07,0.92697,0.9671,1.12633,0.60727,0.53543,0.58643,0.44834,1.29352,2.13425,1.344,8.67949e-05,8.67949e-05,8.67949e-05
75,7051.46,0.9124,0.95285,1.11458,0.66808,0.5114,0.5959,0.45321,1.29022,2.17634,1.34516,8.36962e-05,8.36962e-05,8.36962e-05
76,7150.19,0.90823,0.95767,1.11248,0.63199,0.55899,0.58906,0.44834,1.2961,2.17952,1.35664,8.05975e-05,8.05975e-05,8.05975e-05
77,7242.97,0.91989,0.94553,1.11917,0.63004,0.55536,0.58318,0.44887,1.28677,2.24115,1.34732,7.74988e-05,7.74988e-05,7.74988e-05
78,7336.72,0.91042,0.94469,1.11737,0.65287,0.53733,0.58355,0.43837,1.29833,2.1865,1.34477,7.44001e-05,7.44001e-05,7.44001e-05
79,7428.79,0.90797,0.94519,1.1154,0.60157,0.53246,0.57687,0.43828,1.29504,2.2911,1.33742,7.13014e-05,7.13014e-05,7.13014e-05
80,7527.32,0.89849,0.90991,1.10752,0.60866,0.55191,0.59038,0.45174,1.27592,2.16538,1.33886,6.82027e-05,6.82027e-05,6.82027e-05
81,7619.89,0.89791,0.91441,1.10562,0.6341,0.53294,0.58241,0.44296,1.27882,2.18077,1.33536,6.5104e-05,6.5104e-05,6.5104e-05
82,7718.96,0.90552,0.92332,1.11005,0.62891,0.5528,0.58539,0.44766,1.29787,2.18658,1.3472,6.20053e-05,6.20053e-05,6.20053e-05
83,7810.34,0.90384,0.92315,1.112,0.64482,0.53602,0.58629,0.45218,1.26147,2.26324,1.32812,5.89066e-05,5.89066e-05,5.89066e-05
84,7903.13,0.88944,0.89691,1.10005,0.6428,0.53852,0.58227,0.44695,1.29379,2.30382,1.35183,5.58079e-05,5.58079e-05,5.58079e-05
85,7995.91,0.88511,0.88248,1.09614,0.60456,0.54257,0.57881,0.4416,1.28682,2.30124,1.34196,5.27092e-05,5.27092e-05,5.27092e-05
86,8089.31,0.89328,0.90165,1.09557,0.61538,0.54995,0.58504,0.4487,1.26509,2.32693,1.33091,4.96105e-05,4.96105e-05,4.96105e-05
87,8182.39,0.88482,0.87744,1.09651,0.62781,0.5385,0.58074,0.45064,1.25333,2.31725,1.32792,4.65118e-05,4.65118e-05,4.65118e-05
88,8275.24,0.87094,0.85878,1.08974,0.65703,0.50512,0.57393,0.44171,1.26776,2.33663,1.33315,4.34131e-05,4.34131e-05,4.34131e-05
89,8367.92,0.88575,0.87739,1.09865,0.58583,0.55936,0.57762,0.44132,1.28259,2.3804,1.34133,4.03144e-05,4.03144e-05,4.03144e-05
90,8460.86,0.86448,0.84315,1.08334,0.65354,0.51666,0.58005,0.44892,1.27819,2.37067,1.34155,3.72157e-05,3.72157e-05,3.72157e-05
91,8558.38,0.6779,0.52825,0.97158,0.64331,0.54726,0.57936,0.44577,1.29786,2.29817,1.37865,3.4117e-05,3.4117e-05,3.4117e-05
92,8647.97,0.65796,0.4753,0.96337,0.63931,0.54835,0.57913,0.44729,1.29894,2.28823,1.37115,3.10183e-05,3.10183e-05,3.10183e-05
93,8739.36,0.64962,0.46063,0.96085,0.63838,0.55105,0.57478,0.4455,1.27909,2.35447,1.34857,2.79196e-05,2.79196e-05,2.79196e-05
94,8834.59,0.64668,0.45914,0.96079,0.65483,0.54287,0.57641,0.44689,1.26393,2.38174,1.33682,2.48209e-05,2.48209e-05,2.48209e-05
95,8926.79,0.6373,0.4458,0.95068,0.64133,0.52448,0.56511,0.43845,1.28764,2.44064,1.36597,2.17222e-05,2.17222e-05,2.17222e-05
96,9017.07,0.63797,0.44638,0.95099,0.61865,0.54109,0.57552,0.44659,1.2891,2.40669,1.36288,1.86235e-05,1.86235e-05,1.86235e-05
97,9108.65,0.62815,0.43192,0.9497,0.62555,0.52674,0.56471,0.43968,1.30349,2.47031,1.3756,1.55248e-05,1.55248e-05,1.55248e-05
98,9200.77,0.61699,0.42038,0.94739,0.60517,0.55773,0.58305,0.45148,1.28614,2.41591,1.36276,1.24261e-05,1.24261e-05,1.24261e-05
99,9297.44,0.62465,0.42427,0.94566,0.62465,0.54844,0.58575,0.45464,1.27508,2.37637,1.35249,9.3274e-06,9.3274e-06,9.3274e-06
100,9389.26,0.62631,0.41821,0.94823,0.63692,0.53049,0.57455,0.44888,1.28734,2.45142,1.36375,6.2287e-06,6.2287e-06,6.2287e-06
